CustomerID,Age,Gender,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,Churn
1,56,Male,6,1504.0,9120.0,One year,Fiber,2,0
2,69,Male,8,1434.0,13802.0,Month-to-month,Fiber,1,0
3,46,Female,47,1818.0,86081.0,Month-to-month,DSL,0,0
4,32,Male,71,1578.0,110749.0,Two year,None,1,0
5,60,Male,58,1475.0,81768.0,Month-to-month,Fiber,0,0
6,25,Female,38,315.0,12329.0,Month-to-month,Fiber,1,0
7,78,Male,17,1679.0,25122.0,One year,Fiber,2,0
8,38,Male,58,1233.0,70200.0,Two year,DSL,1,0
9,56,Male,16,1325.0,19757.0,One year,Fiber,1,0
10,75,Male,13,1328.0,16247.0,One year,Fiber,1,0
11,36,Male,30,1510.0,42668.0,One year,Fiber,1,0
12,40,Female,23,1649.0,36476.0,Month-to-month,Fiber,0,0
13,28,Male,59,1454.0,88078.0,One year,Fiber,3,0
14,28,Male,44,1390.0,63446.0,Month-to-month,DSL,0,1
15,41,Male,2,1293.0,5651.0,Two year,DSL,1,0
16,70,Male,36,100.0,3620.0,Month-to-month,DSL,0,0
17,53,Male,42,1085.0,46112.0,Month-to-month,Fiber,0,0
18,57,Female,39,823.0,34418.0,Month-to-month,DSL,2,0
19,41,Male,54,1684.0,87995.0,One year,DSL,1,0
20,20,Female,38,1448.0,56635.0,Month-to-month,Fiber,0,0
21,39,Female,14,1017.0,16843.0,Two year,DSL,3,0
22,70,Male,3,1057.0,1393.0,One year,Fiber,2,1
23,19,Male,24,1042.0,27773.0,Month-to-month,DSL,1,1
24,41,Male,12,1035.0,16535.0,One year,Fiber,0,0
25,61,Male,32,622.0,21460.0,One year,None,0,0
26,47,Female,15,535.0,9214.0,One year,Fiber,0,0
27,55,Male,41,1212.0,47452.0,Month-to-month,DSL,1,0
28,19,Male,65,1630.0,108088.0,Month-to-month,DSL,0,0
29,77,Male,54,985.0,51139.0,Month-to-month,DSL,1,0
30,38,Male,41,1321.0,54900.0,Month-to-month,Fiber,0,1
31,50,Male,33,1494.0,50244.0,Two year,Fiber,4,0
32,29,Male,29,803.0,16694.0,Month-to-month,DSL,1,0
33,75,Female,12,1192.0,15116.0,One year,Fiber,0,0
34,39,Female,12,933.0,16439.0,Month-to-month,Fiber,0,1
35,78,Male,17,1842.0,27130.0,Month-to-month,DSL,1,1
36,61,Male,31,1825.0,56467.0,One year,DSL,1,0
37,42,Male,38,803.0,26620.0,Two year,Fiber,3,1
38,66,Female,45,1354.0,59142.0,Month-to-month,Fiber,2,1
39,44,Male,28,1627.0,41696.0,Month-to-month,Fiber,1,1
40,76,Female,61,1539.0,94198.0,Month-to-month,DSL,2,0
41,59,Male,61,1233.0,76800.0,Month-to-month,DSL,0,0
42,45,Male,56,1723.0,97307.0,Month-to-month,DSL,2,1
43,77,Male,15,838.0,10710.0,Month-to-month,None,3,1
44,33,Male,55,1079.0,58126.0,Month-to-month,Fiber,0,0
45,32,Female,9,849.0,8186.0,One year,Fiber,2,0
46,79,Female,29,1513.0,42079.0,Month-to-month,Fiber,0,1
47,79,Male,24,967.0,20550.0,Month-to-month,Fiber,0,1
48,64,Male,4,1132.0,4050.0,Month-to-month,None,1,0
49,79,Female,64,1447.0,90719.0,One year,DSL,1,0
50,68,Female,48,1479.0,71815.0,Two year,Fiber,3,0
51,61,Female,2,837.0,4271.0,Month-to-month,Fiber,3,0
52,72,Female,44,1623.0,76607.0,One year,DSL,0,0
53,69,Male,13,1382.0,18642.0,Month-to-month,DSL,0,0
54,74,Female,29,767.0,23535.0,Month-to-month,Fiber,2,1
55,20,Male,67,669.0,43624.0,Month-to-month,None,1,0
56,54,Female,17,1194.0,19223.0,Month-to-month,DSL,0,1
57,68,Female,61,1540.0,96508.0,One year,Fiber,1,0
58,24,Female,36,1550.0,55247.0,Two year,DSL,1,0
59,38,Female,24,1342.0,32354.0,Month-to-month,Fiber,1,1
60,26,Female,47,1219.0,59739.0,One year,None,3,0
61,56,Male,64,1405.0,89383.0,Month-to-month,None,0,1
62,35,Male,52,858.0,47617.0,Month-to-month,DSL,0,1
63,21,Female,14,1875.0,27396.0,Month-to-month,DSL,0,1
64,42,Female,48,1870.0,90671.0,Month-to-month,Fiber,2,1
65,77,Male,67,1372.0,90628.0,Month-to-month,None,0,1
66,31,Female,11,1279.0,15087.0,Month-to-month,DSL,1,0
67,67,Female,58,1035.0,59172.0,Month-to-month,DSL,2,1
68,75,Male,36,1411.0,51735.0,Month-to-month,None,1,1
69,26,Female,60,923.0,55176.0,One year,None,3,0
70,43,Female,42,311.0,14996.0,Month-to-month,DSL,1,0
71,70,Male,69,114.0,7802.0,Two year,Fiber,1,0
72,19,Male,38,880.0,37516.0,Month-to-month,None,2,0
73,37,Male,55,1263.0,68914.0,One year,DSL,1,0
74,45,Female,62,1333.0,81577.0,Two year,None,4,0
75,64,Male,45,1005.0,45917.0,One year,DSL,1,0
76,77,Male,10,1257.0,14726.0,Month-to-month,Fiber,1,0
77,24,Male,61,1090.0,68630.0,One year,Fiber,0,0
78,61,Male,24,800.0,19534.0,Month-to-month,DSL,0,0
79,78,Male,70,1179.0,83208.0,Month-to-month,DSL,0,0
80,25,Male,51,1525.0,78456.0,Month-to-month,Fiber,2,0
81,64,Female,3,818.0,298.0,Month-to-month,DSL,1,0
82,52,Female,58,819.0,49550.0,Month-to-month,Fiber,1,0
83,31,Male,71,772.0,52296.0,Two year,DSL,3,0
84,34,Male,19,425.0,5923.0,One year,Fiber,3,1
85,53,Male,62,1008.0,62606.0,Month-to-month,Fiber,2,1
86,67,Female,53,1486.0,78118.0,Two year,Fiber,0,0
87,57,Female,56,1270.0,72712.0,Month-to-month,Fiber,2,0
88,21,Female,40,1132.0,46175.0,Two year,Fiber,1,0
89,19,Female,2,1252.0,2780.0,Month-to-month,Fiber,0,0
90,79,Female,5,1004.0,2769.0,Month-to-month,Fiber,0,0
91,23,Female,4,421.0,1737.0,One year,None,0,0
92,71,Female,4,1513.0,5947.0,One year,DSL,1,0
93,59,Female,53,1628.0,86728.0,One year,Fiber,0,0
94,21,Female,46,909.0,40954.0,Two year,None,0,0
95,71,Male,48,1140.0,55766.0,One year,Fiber,0,0
96,46,Male,8,1105.0,8147.0,One year,DSL,0,1
97,35,Male,19,1341.0,26337.0,Two year,DSL,1,0
98,43,Male,60,1876.0,114152.0,One year,Fiber,2,0
99,61,Female,34,1664.0,55507.0,Month-to-month,Fiber,1,1
100,51,Female,49,1049.0,49857.0,Two year,Fiber,0,0
101,27,Male,61,1417.0,87390.0,Month-to-month,Fiber,0,0
102,79,Female,16,1702.0,24590.0,One year,DSL,1,0
103,53,Male,2,1363.0,4949.0,Two year,Fiber,1,1
104,31,Female,31,1198.0,37160.0,One year,Fiber,1,0
105,48,Male,12,1378.0,16306.0,One year,Fiber,1,0
106,65,Female,67,919.0,62665.0,One year,Fiber,0,0
107,32,Female,13,977.0,13669.0,Month-to-month,DSL,0,1
108,25,Male,10,774.0,7753.0,Two year,Fiber,0,0
109,31,Female,55,1323.0,74522.0,Month-to-month,DSL,2,1
110,40,Male,66,1147.0,74357.0,Month-to-month,Fiber,3,1
111,77,Male,28,871.0,25813.0,Month-to-month,Fiber,2,1
112,74,Male,8,1134.0,6915.0,Month-to-month,DSL,1,0
113,79,Male,66,1388.0,92629.0,Month-to-month,Fiber,0,1
114,57,Female,24,1966.0,46528.0,One year,DSL,2,0
115,38,Female,41,1605.0,63183.0,Month-to-month,DSL,2,0
116,33,Female,8,286.0,2801.0,Month-to-month,Fiber,2,1
117,62,Male,39,1296.0,50475.0,Month-to-month,Fiber,1,0
118,35,Female,24,1772.0,39443.0,Month-to-month,Fiber,0,0
119,64,Male,4,665.0,1567.0,One year,Fiber,0,0
120,70,Female,10,1421.0,13905.0,Month-to-month,Fiber,0,1
121,41,Female,58,1105.0,67326.0,Month-to-month,Fiber,0,0
122,43,Female,37,1660.0,62062.0,Month-to-month,Fiber,0,0
123,42,Male,71,1362.0,95365.0,Month-to-month,DSL,1,0
124,77,Female,4,846.0,5548.0,Month-to-month,DSL,1,1
125,77,Female,47,1120.0,54454.0,Month-to-month,DSL,2,1
126,77,Male,17,1143.0,21974.0,One year,Fiber,3,0
127,62,Female,69,1151.0,80787.0,One year,Fiber,2,0
128,58,Male,36,1648.0,61100.0,Month-to-month,DSL,0,0
129,46,Female,59,863.0,52379.0,Two year,DSL,2,1
130,32,Male,47,1601.0,74292.0,Month-to-month,DSL,0,0
131,62,Male,27,1079.0,25858.0,Month-to-month,Fiber,2,1
132,18,Female,68,1289.0,86610.0,Two year,DSL,1,0
133,42,Male,39,1229.0,50141.0,Month-to-month,DSL,2,0
134,24,Male,44,1191.0,51642.0,Two year,Fiber,2,1
135,26,Male,61,1195.0,72604.0,Month-to-month,Fiber,0,1
136,41,Male,57,1783.0,99299.0,Month-to-month,DSL,1,1
137,18,Male,66,1537.0,100340.0,Month-to-month,Fiber,0,0
138,61,Male,55,1055.0,58007.0,One year,Fiber,1,0
139,25,Female,39,1833.0,72472.0,One year,DSL,1,0
140,41,Male,39,1310.0,50173.0,One year,None,2,0
141,28,Male,32,1343.0,41919.0,Month-to-month,Fiber,1,1
142,68,Female,5,865.0,6009.0,Month-to-month,Fiber,3,1
143,34,Female,18,1001.0,18669.0,Month-to-month,Fiber,1,0
144,25,Female,39,925.0,36972.0,Month-to-month,DSL,1,1
145,52,Female,58,1234.0,74629.0,Two year,Fiber,1,1
146,52,Female,58,1456.0,83438.0,Month-to-month,None,1,1
147,50,Female,47,1347.0,63211.0,One year,Fiber,1,0
148,76,Female,40,1835.0,74502.0,One year,Fiber,0,0
149,22,Male,12,845.0,8397.0,Month-to-month,DSL,3,0
150,59,Male,44,1246.0,55282.0,One year,DSL,0,0
151,56,Female,52,687.0,35768.0,Month-to-month,Fiber,2,1
152,75,Male,41,831.0,39626.0,Month-to-month,Fiber,5,1
153,58,Male,62,1706.0,105972.0,Month-to-month,None,0,0
154,45,Male,26,1015.0,28704.0,Month-to-month,Fiber,2,1
155,24,Female,37,879.0,34183.0,Month-to-month,DSL,1,1
156,26,Female,59,348.0,18219.0,Month-to-month,Fiber,1,1
157,25,Male,6,875.0,2152.0,Month-to-month,DSL,0,1
158,29,Female,4,1118.0,4966.0,Month-to-month,DSL,2,1
159,51,Male,44,657.0,31423.0,One year,Fiber,2,0
160,50,Male,57,1095.0,62991.0,One year,DSL,0,0
161,65,Male,30,1708.0,51398.0,Month-to-month,Fiber,1,0
162,72,Male,22,917.0,19606.0,Month-to-month,Fiber,1,1
163,40,Female,41,823.0,31095.0,One year,DSL,1,0
164,79,Female,9,750.0,4829.0,Month-to-month,Fiber,1,1
165,41,Female,31,743.0,19788.0,One year,DSL,0,0
166,54,Male,52,1414.0,71322.0,Month-to-month,Fiber,1,0
167,52,Female,29,1219.0,34299.0,Month-to-month,Fiber,1,1
168,61,Male,38,1583.0,61706.0,Month-to-month,Fiber,1,0
169,57,Female,30,2008.0,59350.0,Month-to-month,Fiber,1,1
170,39,Male,1,468.0,979.0,One year,Fiber,0,0
171,44,Male,11,1352.0,15142.0,Month-to-month,DSL,2,1
172,52,Male,38,753.0,29612.0,One year,None,1,0
173,18,Female,65,1516.0,96470.0,Two year,DSL,1,0
174,52,Female,12,1091.0,15210.0,Month-to-month,Fiber,2,1
175,54,Female,45,1211.0,51681.0,One year,Fiber,0,0
176,64,Female,26,687.0,16966.0,Month-to-month,Fiber,2,1
177,31,Male,16,1029.0,16422.0,Month-to-month,Fiber,0,1
178,20,Female,59,1236.0,74444.0,One year,DSL,1,0
179,18,Female,63,1742.0,112505.0,Month-to-month,Fiber,2,0
180,22,Male,34,882.0,31524.0,Month-to-month,Fiber,2,1
181,43,Male,69,980.0,70452.0,Month-to-month,None,2,1
182,72,Male,29,1578.0,44104.0,Month-to-month,Fiber,1,0
183,31,Female,70,856.0,62301.0,Two year,Fiber,2,0
184,56,Male,62,1657.0,104771.0,Two year,Fiber,3,1
185,44,Male,27,1196.0,27499.0,One year,Fiber,1,0
186,26,Male,59,1321.0,77498.0,One year,DSL,2,0
187,32,Female,36,1347.0,49696.0,Month-to-month,Fiber,1,1
188,32,Male,21,954.0,19003.0,Month-to-month,Fiber,4,1
189,43,Female,67,1356.0,88680.0,Month-to-month,Fiber,0,0
190,59,Female,19,891.0,21157.0,Month-to-month,Fiber,1,1
191,77,Male,67,999.0,67155.0,Month-to-month,Fiber,0,0
192,30,Male,63,1423.0,89926.0,Two year,DSL,0,0
193,68,Female,16,1317.0,18454.0,Month-to-month,DSL,3,1
194,49,Male,11,1170.0,11645.0,Month-to-month,DSL,0,1
195,56,Male,21,697.0,12841.0,Month-to-month,Fiber,3,1
196,66,Female,16,796.0,14894.0,One year,DSL,0,0
197,69,Female,9,1311.0,12808.0,One year,DSL,0,0
198,78,Male,64,1493.0,94411.0,Month-to-month,Fiber,3,0
199,49,Female,21,756.0,16997.0,Month-to-month,DSL,2,1
200,21,Male,49,864.0,41829.0,One year,Fiber,2,0
201,47,Male,13,1254.0,16771.0,Month-to-month,Fiber,5,1
202,54,Male,63,1245.0,78895.0,Month-to-month,DSL,1,0
203,40,Female,46,550.0,26141.0,One year,Fiber,1,0
204,56,Male,28,1265.0,36019.0,One year,DSL,0,0
205,62,Male,35,961.0,34477.0,Month-to-month,Fiber,0,1
206,32,Male,51,1856.0,97168.0,One year,DSL,0,0
207,60,Female,6,1300.0,9081.0,One year,None,4,0
208,46,Female,28,1369.0,37658.0,Month-to-month,DSL,2,1
209,53,Female,10,1379.0,13594.0,Two year,Fiber,0,0
210,30,Female,32,714.0,25308.0,One year,Fiber,2,0
211,49,Female,5,1978.0,10115.0,One year,Fiber,1,1
212,24,Male,31,551.0,16333.0,One year,Fiber,0,1
213,76,Female,50,1518.0,74638.0,Month-to-month,Fiber,1,1
214,68,Female,57,1447.0,83025.0,Month-to-month,DSL,2,1
215,39,Female,25,1009.0,23515.0,Month-to-month,DSL,2,1
216,45,Male,45,1467.0,68585.0,Month-to-month,None,4,0
217,19,Female,28,1073.0,27968.0,Month-to-month,Fiber,2,0
218,59,Female,3,930.0,5746.0,Two year,Fiber,0,1
219,62,Male,12,1388.0,16086.0,One year,Fiber,1,0
220,79,Female,38,797.0,28133.0,One year,None,0,0
221,74,Male,14,1110.0,15918.0,Two year,DSL,2,1
222,70,Male,28,962.0,25030.0,One year,DSL,3,0
223,23,Male,28,1066.0,29917.0,Month-to-month,None,4,1
224,45,Male,31,1373.0,41408.0,Month-to-month,DSL,0,0
225,45,Male,1,962.0,2852.0,Month-to-month,Fiber,1,1
226,61,Female,46,1123.0,51931.0,One year,Fiber,2,0
227,61,Male,21,999.0,18602.0,Month-to-month,DSL,1,1
228,37,Male,26,1778.0,45034.0,One year,Fiber,1,0
229,47,Female,66,1337.0,89652.0,Month-to-month,Fiber,1,1
230,79,Male,55,1288.0,73414.0,One year,None,0,0
231,28,Female,20,1473.0,29369.0,One year,None,3,0
232,75,Female,46,962.0,42163.0,One year,DSL,1,0
233,72,Female,58,1544.0,91660.0,Two year,DSL,0,0
234,45,Male,5,1338.0,8091.0,One year,DSL,1,0
235,42,Male,18,576.0,12981.0,Two year,Fiber,1,1
236,56,Male,56,629.0,35804.0,Two year,Fiber,2,0
237,79,Female,68,971.0,64987.0,One year,DSL,1,0
238,50,Male,2,672.0,2378.0,One year,DSL,1,0
239,18,Male,0,1105.0,653.0,Month-to-month,Fiber,2,0
240,74,Male,57,795.0,44165.0,Month-to-month,None,0,1
241,44,Female,37,1161.0,43354.0,Month-to-month,Fiber,1,1
242,79,Female,14,1765.0,24320.0,Month-to-month,Fiber,2,0
243,74,Male,33,1180.0,40427.0,Month-to-month,DSL,4,1
244,69,Male,60,1079.0,65724.0,Two year,Fiber,0,0
245,30,Male,34,1355.0,43967.0,Two year,Fiber,2,0
246,58,Male,63,921.0,55718.0,One year,Fiber,2,0
247,20,Female,24,1537.0,36708.0,Month-to-month,DSL,1,1
248,56,Female,23,1398.0,32220.0,Month-to-month,Fiber,1,0
